eta0,eta1,eta2,eta3
-4.441099986433982849e-02,-9.508600234985351562e-01,-1.689999923110008240e-02,-1.422299957275390625e+02
8.303700089454650879e-01,8.448899723589420319e-03,-2.074799984693527222e-01,5.436299800872802734e+00
-8.631200343370437622e-02,-9.071300029754638672e-01,-5.489500164985656738e-01,3.636999893188476562e+01
-4.155200123786926270e-01,-5.832599997520446777e-01,1.116300001740455627e-02,-3.846099853515625000e+01
-4.450799897313117981e-02,9.508600234985351562e-01,-4.914700053632259369e-03,1.401100006103515625e+02
-8.856000006198883057e-02,9.088600277900695801e-01,-7.129900041036307812e-04,1.462899932861328125e+02
-8.294700086116790771e-02,9.167600274085998535e-01,1.982999965548515320e-02,2.127799987792968750e+02
-9.999600052833557129e-01,4.342299871495924890e-05,4.591099917888641357e-02,1.473099994659423828e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-8.106199651956558228e-02,9.155300259590148926e-01,-1.359300035983324051e-02,1.417100067138671875e+02
1.744299940764904022e-02,8.184599876403808594e-01,-5.101599916815757751e-02,3.004100036621093750e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-8.117400109767913818e-02,9.154800176620483398e-01,-1.541299978271126747e-03,1.385299987792968750e+02
8.118199706077575684e-01,2.370099909603595734e-02,-4.928900003433227539e-01,1.521000003814697266e+01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-8.106199651956558228e-02,9.155300259590148926e-01,-1.359300035983324051e-02,1.417100067138671875e+02
1.744299940764904022e-02,8.184599876403808594e-01,-5.101599916815757751e-02,3.004100036621093750e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-8.631200343370437622e-02,-9.071300029754638672e-01,-5.489500164985656738e-01,3.636999893188476562e+01
-4.155200123786926270e-01,-5.832599997520446777e-01,1.116300001740455627e-02,-3.846099853515625000e+01
-4.450799897313117981e-02,9.508600234985351562e-01,-4.914700053632259369e-03,1.401100006103515625e+02
-8.856000006198883057e-02,9.088600277900695801e-01,-7.129900041036307812e-04,1.462899932861328125e+02
-8.294700086116790771e-02,9.167600274085998535e-01,1.982999965548515320e-02,2.127799987792968750e+02
-9.999600052833557129e-01,4.342299871495924890e-05,4.591099917888641357e-02,1.473099994659423828e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-8.106199651956558228e-02,9.155300259590148926e-01,-1.359300035983324051e-02,1.417100067138671875e+02
1.744299940764904022e-02,8.184599876403808594e-01,-5.101599916815757751e-02,3.004100036621093750e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-8.117400109767913818e-02,9.154800176620483398e-01,-1.541299978271126747e-03,1.385299987792968750e+02
8.118199706077575684e-01,2.370099909603595734e-02,-4.928900003433227539e-01,1.521000003814697266e+01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-8.106199651956558228e-02,9.155300259590148926e-01,-1.359300035983324051e-02,1.417100067138671875e+02
1.744299940764904022e-02,8.184599876403808594e-01,-5.101599916815757751e-02,3.004100036621093750e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-9.999600052833557129e-01,4.342299871495924890e-05,4.591099917888641357e-02,1.473099994659423828e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-9.990400075912475586e-01,3.653600089137398754e-08,1.297399997711181641e+00,9.300400018692016602e-01
-8.106199651956558228e-02,9.155300259590148926e-01,-1.359300035983324051e-02,1.417100067138671875e+02
-9.999600052833557129e-01,4.342299871495924890e-05,4.591099917888641357e-02,1.473099994659423828e+01
-7.005800306797027588e-02,9.051499962806701660e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-3.523600101470947266e-02,9.567099809646606445e-01,-7.153000216931104660e-03,1.045000000000000000e+02
-3.488399833440780640e-02,9.471399784088134766e-01,-7.153099868446588516e-03,1.045000000000000000e+02
-7.075800001621246338e-02,9.142000079154968262e-01,-1.653300039470195770e-02,8.129499816894531250e+01
-1.010200023651123047e+00,3.621299882183848240e-08,1.285799980163574219e+00,9.516199827194213867e-01
