eta0,eta1,eta2,eta3
9.987000226974487305e-01,-9.194999933242797852e-01,1.098999977111816406e-01,-4.871250152587890625e+01
5.166500210762023926e-01,1.990700013720925199e-07,7.848500013351440430e-01,2.888000011444091797e+00
5.130700021982192993e-02,1.775700013695313828e-07,4.832800030708312988e-01,4.103899955749511719e+00
5.166500210762023926e-01,1.990700013720925199e-07,7.848500013351440430e-01,2.888000011444091797e+00
5.130700021982192993e-02,4.489000104967999505e-07,9.294499754905700684e-01,2.806499958038330078e+00
3.826900124549865723e-01,6.178799867630004883e-01,-2.334900051355361938e-01,4.035800170898437500e+01
2.632199972867965698e-02,9.696800112724304199e-01,1.143399998545646667e-01,5.258800125122070312e+01
9.997900128364562988e-01,2.149799984181299806e-04,-1.861199922859668732e-02,2.047699928283691406e+01
5.538599938154220581e-02,9.430999755859375000e-01,8.892299979925155640e-02,7.906199645996093750e+01
5.223399996757507324e-01,2.010600042012811173e-07,7.881000041961669922e-01,2.885600090026855469e+00
5.342199802398681641e-01,2.056300019148693536e-07,7.854499816894531250e-01,2.891499996185302734e+00
5.853700041770935059e-01,2.253199937740646419e-07,7.848700284957885742e-01,2.892800092697143555e+00
5.285400152206420898e-01,2.040900000110923429e-07,7.844499945640563965e-01,2.880599975585937500e+00
9.403100013732910156e-01,3.627899900493503083e-07,7.839000225067138672e-01,2.884099960327148438e+00
1.033800005912780762e+00,2.222899929620325565e-04,-1.861199922859668732e-02,2.047699928283691406e+01
5.340099930763244629e-01,2.057300036995002301e-07,7.850099802017211914e-01,2.889499902725219727e+00
5.721300095319747925e-02,9.742299914360046387e-01,8.892299979925155640e-02,7.906199645996093750e+01
5.305099859833717346e-02,1.838100018858312978e-07,4.823099970817565918e-01,4.102900028228759766e+00
7.016100287437438965e-01,2.700699894830904668e-07,7.851099967956542969e-01,2.891900062561035156e+00
7.956399917602539062e-01,3.061699942463746993e-07,7.856199741363525391e-01,2.893500089645385742e+00
9.637100249528884888e-02,1.641000032424926758e+00,8.892299979925155640e-02,7.906199645996093750e+01
9.555799961090087891e-01,2.054700016742572188e-04,-1.861299946904182434e-02,2.047699928283691406e+01
9.714599698781967163e-02,1.654199957847595215e+00,8.892299979925155640e-02,7.906199645996093750e+01
2.632199972867965698e-02,9.696800112724304199e-01,1.143399998545646667e-01,5.258800125122070312e+01
9.997900128364562988e-01,2.149799984181299806e-04,-1.861199922859668732e-02,2.047699928283691406e+01
5.538599938154220581e-02,9.430999755859375000e-01,8.892299979925155640e-02,7.906199645996093750e+01
5.223399996757507324e-01,2.010600042012811173e-07,7.881000041961669922e-01,2.885600090026855469e+00
5.342199802398681641e-01,2.056300019148693536e-07,7.854499816894531250e-01,2.891499996185302734e+00
5.853700041770935059e-01,2.253199937740646419e-07,7.848700284957885742e-01,2.892800092697143555e+00
5.285400152206420898e-01,2.040900000110923429e-07,7.844499945640563965e-01,2.880599975585937500e+00
9.403100013732910156e-01,3.627899900493503083e-07,7.839000225067138672e-01,2.884099960327148438e+00
1.033800005912780762e+00,2.222899929620325565e-04,-1.861199922859668732e-02,2.047699928283691406e+01
5.340099930763244629e-01,2.057300036995002301e-07,7.850099802017211914e-01,2.889499902725219727e+00
5.721300095319747925e-02,9.742299914360046387e-01,8.892299979925155640e-02,7.906199645996093750e+01
5.305099859833717346e-02,1.838100018858312978e-07,4.823099970817565918e-01,4.102900028228759766e+00
7.016100287437438965e-01,2.700699894830904668e-07,7.851099967956542969e-01,2.891900062561035156e+00
7.956399917602539062e-01,3.061699942463746993e-07,7.856199741363525391e-01,2.893500089645385742e+00
9.637100249528884888e-02,1.641000032424926758e+00,8.892299979925155640e-02,7.906199645996093750e+01
9.555799961090087891e-01,2.054700016742572188e-04,-1.861299946904182434e-02,2.047699928283691406e+01
2.632199972867965698e-02,9.696800112724304199e-01,1.143399998545646667e-01,5.258800125122070312e+01
9.997900128364562988e-01,2.149799984181299806e-04,-1.861199922859668732e-02,2.047699928283691406e+01
5.538599938154220581e-02,9.430999755859375000e-01,8.892299979925155640e-02,7.906199645996093750e+01
5.223399996757507324e-01,2.010600042012811173e-07,7.881000041961669922e-01,2.885600090026855469e+00
