eta0,eta1,eta2,eta3
5.680000036954879761e-02,-9.187999963760375977e-01,2.365999966859817505e-01,-9.246899604797363281e+00
-7.862600088119506836e-01,-1.266299933195114136e-01,1.415699958801269531e+00,-8.618699908256530762e-01
-9.103599786758422852e-01,-2.000000000000000000e+00,0.000000000000000000e+00,4.910099861952000691e-18
4.316500127315521240e-01,-5.547599792480468750e-01,2.413599938154220581e-01,-1.219299983978271484e+01
1.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,2.431499925228687011e-16
1.185799986124038696e-01,-8.826799988746643066e-01,-1.593800038099288940e-01,-2.232900047302246094e+01
-5.635499954223632812e-03,-9.499599933624267578e-01,4.338299930095672607e-01,-5.851399898529052734e+00
2.656199969351291656e-02,-9.377800226211547852e-01,3.512600064277648926e-01,-1.248200035095214844e+01
-6.846399903297424316e-01,-1.813399940729141235e-01,8.755499720573425293e-01,-1.445000052452087402e+00
-8.129900097846984863e-01,-1.309400051832199097e-01,1.415699958801269531e+00,-8.618699908256530762e-01
4.834499955177307129e-01,-6.213300228118896484e-01,2.413599938154220581e-01,-1.219299983978271484e+01
1.284299939870834351e-01,-9.559400081634521484e-01,-1.593800038099288940e-01,-2.232900047302246094e+01
-5.872199777513742447e-03,-9.898599982261657715e-01,4.338299930095672607e-01,-5.851399898529052734e+00
2.956300042569637299e-02,-1.043799996376037598e+00,3.512600064277648926e-01,-1.248200035095214844e+01
-9.174100160598754883e-01,-2.430000007152557373e-01,8.755400180816650391e-01,-1.445000052452087402e+00
5.066599845886230469e-01,-6.511499881744384766e-01,2.413599938154220581e-01,-1.219400024414062500e+01
-6.254499778151512146e-03,-1.054499983787536621e+00,4.338299930095672607e-01,-5.851299762725830078e+00
2.778399921953678131e-02,-9.809200167655944824e-01,3.512600064277648926e-01,-1.248200035095214844e+01
6.487900018692016602e-01,-8.338199853897094727e-01,2.413599938154220581e-01,-1.219400024414062500e+01
-1.341400027275085449e+00,-2.160499989986419678e-01,1.415699958801269531e+00,-8.618800044059753418e-01
-1.059299945831298828e+00,-2.832100093364715576e-01,8.811299800872802734e-01,-1.429900050163269043e+00
-1.414600014686584473e+00,-2.278299927711486816e-01,1.415699958801269531e+00,-8.618699908256530762e-01
-1.482100009918212891e+00,-2.000000000000000000e+00,0.000000000000000000e+00,2.842599888465824202e-17
5.380500108003616333e-02,-1.899600028991699219e+00,3.512600064277648926e-01,-1.248200035095214844e+01
-1.565799951553344727e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-7.728200397753290574e-18
-5.635499954223632812e-03,-9.499599933624267578e-01,4.338299930095672607e-01,-5.851399898529052734e+00
2.656199969351291656e-02,-9.377800226211547852e-01,3.512600064277648926e-01,-1.248200035095214844e+01
-6.846399903297424316e-01,-1.813399940729141235e-01,8.755499720573425293e-01,-1.445000052452087402e+00
-8.129900097846984863e-01,-1.309400051832199097e-01,1.415699958801269531e+00,-8.618699908256530762e-01
4.834499955177307129e-01,-6.213300228118896484e-01,2.413599938154220581e-01,-1.219299983978271484e+01
1.284299939870834351e-01,-9.559400081634521484e-01,-1.593800038099288940e-01,-2.232900047302246094e+01
-5.872199777513742447e-03,-9.898599982261657715e-01,4.338299930095672607e-01,-5.851399898529052734e+00
2.956300042569637299e-02,-1.043799996376037598e+00,3.512600064277648926e-01,-1.248200035095214844e+01
-9.174100160598754883e-01,-2.430000007152557373e-01,8.755400180816650391e-01,-1.445000052452087402e+00
-1.414600014686584473e+00,-2.278299927711486816e-01,1.415699958801269531e+00,-8.618699908256530762e-01
-1.482100009918212891e+00,-2.000000000000000000e+00,0.000000000000000000e+00,2.842599888465824202e-17
-1.414600014686584473e+00,-2.278299927711486816e-01,1.415699958801269531e+00,-8.618699908256530762e-01
