eta0,eta1,eta2,eta3,eta4
1.841299980878829956e-02,6.695100069046020508e-01,2.033299952745437622e-01,-3.301999997347593307e-03,7.744200229644775391e+00
1.438300032168626785e-02,5.771399736404418945e-01,1.778499931097030640e-01,-3.826899919658899307e-03,8.441200256347656250e+00
1.441300008445978165e-02,5.778899788856506348e-01,1.779399961233139038e-01,-3.785399952903389931e-03,8.461899757385253906e+00
1.457700040191411972e-02,5.852400064468383789e-01,1.778499931097030640e-01,-3.891400061547756195e-03,8.437600135803222656e+00
1.454900018870830536e-02,5.836099982261657715e-01,1.778800040483474731e-01,-3.861800068989396095e-03,8.443799972534179688e+00
1.500200014561414719e-02,6.019499897956848145e-01,1.778399944305419922e-01,-3.991399891674518585e-03,8.441900253295898438e+00
1.557699963450431824e-02,6.250399947166442871e-01,1.778499931097030640e-01,-4.144900012761354446e-03,8.441800117492675781e+00
1.442600041627883911e-02,5.762000083923339844e-01,1.770800054073333740e-01,-3.771000076085329056e-03,8.494000434875488281e+00
1.487599965184926987e-02,5.974100232124328613e-01,1.779100000858306885e-01,-3.976500127464532852e-03,8.432200431823730469e+00
1.560700032860040665e-02,6.261699795722961426e-01,1.778099983930587769e-01,-4.152699839323759079e-03,8.442199707031250000e+00
1.451299991458654404e-02,5.819100141525268555e-01,1.778199970722198486e-01,-3.844700055196881294e-03,8.447999954223632812e+00
1.470100041478872299e-02,5.900700092315673828e-01,1.779199987649917603e-01,-3.916000016033649445e-03,8.436699867248535156e+00
1.454900018870830536e-02,5.836099982261657715e-01,1.778800040483474731e-01,-3.861800068989396095e-03,8.443799972534179688e+00
1.447399985045194626e-02,5.783600211143493652e-01,1.779399961233139038e-01,-3.751399926841259003e-03,8.467900276184082031e+00
1.470299996435642242e-02,5.900700092315673828e-01,1.779100000858306885e-01,-3.914100117981433868e-03,8.437899589538574219e+00
1.438300032168626785e-02,5.771399736404418945e-01,1.778499931097030640e-01,-3.826899919658899307e-03,8.441200256347656250e+00
1.441300008445978165e-02,5.778899788856506348e-01,1.779399961233139038e-01,-3.785399952903389931e-03,8.461899757385253906e+00
1.457700040191411972e-02,5.852400064468383789e-01,1.778499931097030640e-01,-3.891400061547756195e-03,8.437600135803222656e+00
1.454900018870830536e-02,5.836099982261657715e-01,1.778800040483474731e-01,-3.861800068989396095e-03,8.443799972534179688e+00
1.740599982440471649e-02,6.983100175857543945e-01,1.778199970722198486e-01,-4.628899972885847092e-03,8.443099975585937500e+00
1.654800027608871460e-02,6.636599898338317871e-01,1.777700036764144897e-01,-4.393599927425384521e-03,8.447699546813964844e+00
2.444499917328357697e-02,9.811499714851379395e-01,1.779399961233139038e-01,-6.509699858725070953e-03,8.436400413513183594e+00
1.487599965184926987e-02,5.974100232124328613e-01,1.779100000858306885e-01,-3.976500127464532852e-03,8.432200431823730469e+00
1.560700032860040665e-02,6.261699795722961426e-01,1.778099983930587769e-01,-4.152699839323759079e-03,8.442199707031250000e+00
2.042200043797492981e-02,8.196099996566772461e-01,1.779000014066696167e-01,-5.438299849629402161e-03,8.438400268554687500e+00
2.201100066304206848e-02,8.829699754714965820e-01,1.778099983930587769e-01,-5.850600078701972961e-03,8.444199562072753906e+00
